frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
97.30,-8.02,-8.02,-8.02,-8.02,8.02,8.09,0.01,0.00,0.00
98.28,-8.01,-8.01,-8.01,-8.01,8.02,8.09,0.01,0.01,0.00
99.26,-8.00,-8.00,-8.00,-8.00,8.01,8.08,0.01,0.01,0.00
100.25,-7.99,-7.99,-7.99,-7.99,8.00,8.06,0.01,0.01,0.00
101.25,-7.98,-7.98,-7.98,-7.98,7.97,8.04,-0.00,-0.01,0.00
102.27,-7.96,-7.96,-7.96,-7.96,7.94,8.01,-0.02,-0.02,0.00
103.29,-7.93,-7.93,-7.92,-7.92,7.90,7.98,-0.03,-0.02,0.00
104.32,-7.85,-7.85,-7.86,-7.86,7.84,7.93,-0.01,-0.01,0.00
105.37,-7.78,-7.78,-7.78,-7.78,7.78,7.88,0.00,-0.00,0.00
106.42,-7.69,-7.69,-7.69,-7.69,7.70,7.81,0.01,0.01,0.00
107.48,-7.61,-7.61,-7.61,-7.61,7.62,7.74,0.01,0.01,0.00
108.56,-7.52,-7.52,-7.52,-7.52,7.53,7.67,0.01,0.01,0.00
109.64,-7.43,-7.43,-7.43,-7.43,7.43,7.58,0.00,0.00,0.00
110.74,-7.33,-7.33,-7.33,-7.33,7.33,7.49,0.00,0.00,0.00
111.85,-7.23,-7.23,-7.23,-7.23,7.23,7.38,-0.00,-0.00,0.00
112.97,-7.13,-7.13,-7.13,-7.13,7.13,7.28,-0.00,-0.00,0.00
114.10,-7.02,-7.02,-7.02,-7.02,7.02,7.16,-0.00,-0.00,0.00
115.24,-6.91,-6.91,-6.91,-6.91,6.91,7.04,-0.00,-0.00,0.00
116.39,-6.80,-6.80,-6.80,-6.80,6.80,6.91,0.00,0.00,0.00
117.55,-6.68,-6.68,-6.68,-6.68,6.68,6.77,-0.00,0.00,0.00
118.73,-6.56,-6.56,-6.56,-6.56,6.56,6.63,0.00,0.00,0.00
119.92,-6.44,-6.44,-6.44,-6.44,6.44,6.49,0.00,0.00,0.00
121.12,-6.31,-6.31,-6.31,-6.31,6.31,6.34,0.00,0.00,0.00
122.33,-6.18,-6.18,-6.18,-6.18,6.18,6.19,-0.00,-0.00,0.00
123.55,-6.04,-6.04,-6.04,-6.04,6.04,6.03,0.00,-0.00,0.00
124.79,-5.91,-5.91,-5.91,-5.91,5.91,5.87,-0.00,-0.00,0.00
126.03,-5.77,-5.77,-5.77,-5.77,5.77,5.71,-0.00,-0.00,0.00
127.29,-5.62,-5.62,-5.62,-5.62,5.62,5.55,0.00,-0.00,0.00
128.57,-5.47,-5.47,-5.47,-5.47,5.47,5.38,-0.00,-0.00,0.00
129.85,-5.32,-5.32,-5.32,-5.32,5.32,5.22,0.00,-0.00,0.00
131.15,-5.17,-5.17,-5.17,-5.17,5.17,5.05,-0.00,-0.00,0.00
132.46,-5.01,-5.01,-5.01,-5.01,5.01,4.88,0.00,-0.00,0.00
133.79,-4.85,-4.85,-4.85,-4.85,4.85,4.71,-0.00,-0.00,0.00
135.12,-4.68,-4.68,-4.68,-4.68,4.68,4.54,0.00,0.00,0.00
136.48,-4.51,-4.51,-4.51,-4.51,4.51,4.36,-0.00,0.00,0.00
137.84,-4.34,-4.34,-4.34,-4.34,4.34,4.19,-0.00,-0.00,0.00
139.22,-4.17,-4.17,-4.17,-4.17,4.17,4.02,-0.00,-0.00,0.00
140.61,-3.99,-3.99,-3.99,-3.99,3.99,3.85,-0.00,-0.00,0.00
142.02,-3.82,-3.82,-3.82,-3.82,3.82,3.67,-0.00,-0.00,0.00
143.44,-3.64,-3.64,-3.64,-3.64,3.64,3.50,-0.00,-0.00,0.00
144.87,-3.45,-3.45,-3.45,-3.45,3.45,3.33,-0.00,-0.00,0.00
146.32,-3.27,-3.27,-3.27,-3.27,3.27,3.16,0.00,0.00,0.00
